vis08[appealing],vis08[artistic],vis08[attractive],vis08[balanced],vis08[beautiful],vis08[clean],vis08[cluttered],vis08[colorHarmonious],vis08[creative],vis08[delightful],vis08[elegant],vis08[engaging],vis08[enjoyable],vis08[exciting],vis08[fascinating],vis08[harmonious],vis08[interesting],vis08[inviting],vis08[likable],vis08[lovely],vis08[motivating],vis08[nice],vis08[organized],vis08[pleasing],vis08[pretty],vis08[professional],vis08[provoking],vis08[satisfying],vis08[sophisticated],vis08[tasteful],vis08[wellDesigned]
5.0,3.0,5.0,3.0,5.0,5.0,3.0,1.0,6.0,5.0,3.0,5.0,4.0,2.0,6.0,3.0,7.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0
5.0,4.0,4.0,6.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,6.0
6.0,7.0,7.0,5.0,5.0,7.0,3.0,4.0,5.0,7.0,5.0,7.0,7.0,5.0,5.0,7.0,6.0,5.0,7.0,6.0,5.0,7.0,6.0,5.0,6.0,6.0,5.0,6.0,7.0,6.0,7.0
4.0,2.0,3.0,3.0,5.0,1.0,1.0,5.0,5.0,3.0,1.0,6.0,4.0,3.0,5.0,4.0,5.0,2.0,5.0,3.0,5.0,5.0,1.0,2.0,2.0,5.0,3.0,4.0,5.0,5.0,1.0
2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0
7.0,6.0,7.0,7.0,7.0,7.0,2.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,5.0,7.0,6.0,6.0,7.0
3.0,6.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,6.0,6.0,5.0,3.0,5.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0
3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,2.0,4.0,3.0
3.0,2.0,2.0,6.0,3.0,3.0,2.0,6.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,1.0,5.0,3.0,5.0,3.0,5.0,4.0,6.0,3.0,3.0,4.0,5.0,4.0,2.0,4.0,2.0
5.0,5.0,5.0,4.0,4.0,2.0,4.0,5.0,6.0,6.0,4.0,6.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,4.0,4.0,2.0,4.0,3.0,5.0,4.0,3.0
6.0,1.0,6.0,4.0,6.0,7.0,2.0,1.0,6.0,1.0,1.0,7.0,5.0,6.0,7.0,2.0,7.0,7.0,3.0,1.0,7.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,2.0
4.0,1.0,3.0,7.0,6.0,1.0,3.0,1.0,4.0,1.0,7.0,3.0,3.0,3.0,4.0,3.0,1.0,5.0,5.0,2.0,4.0,6.0,7.0,3.0,1.0,3.0,1.0,6.0,2.0,1.0,6.0
5.0,6.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,5.0,2.0,4.0,3.0,5.0,5.0,5.0
4.0,2.0,6.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,6.0,4.0,4.0,4.0,4.0,6.0,3.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,2.0
5.0,2.0,3.0,6.0,3.0,2.0,1.0,7.0,3.0,5.0,2.0,5.0,5.0,2.0,6.0,3.0,6.0,4.0,4.0,2.0,2.0,6.0,7.0,4.0,5.0,7.0,2.0,2.0,3.0,5.0,7.0
6.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,6.0,6.0,2.0,6.0,6.0,4.0,4.0,4.0,6.0,5.0,6.0,6.0,6.0,5.0,3.0,6.0,5.0,1.0,3.0,6.0,3.0,5.0,2.0
1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0
4.0,6.0,5.0,6.0,3.0,4.0,3.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,6.0,5.0,5.0,6.0
4.0,4.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0
2.0,6.0,4.0,1.0,4.0,2.0,1.0,3.0,5.0,4.0,1.0,4.0,3.0,4.0,4.0,2.0,5.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,2.0,5.0,4.0,2.0,2.0
2.0,4.0,3.0,4.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,3.0,4.0,2.0,3.0
3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
6.0,5.0,7.0,3.0,5.0,6.0,3.0,2.0,5.0,6.0,3.0,6.0,6.0,7.0,6.0,5.0,6.0,7.0,6.0,5.0,6.0,5.0,7.0,7.0,5.0,6.0,5.0,6.0,6.0,3.0,5.0
5.0,5.0,4.0,4.0,6.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,6.0,3.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0,5.0
1.0,1.0,2.0,2.0,4.0,6.0,1.0,4.0,1.0,2.0,6.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,2.0,4.0,7.0,3.0,2.0,2.0,2.0,7.0
2.0,3.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0
2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0
2.0,4.0,1.0,1.0,2.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0,1.0,2.0,4.0
3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,5.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0
2.0,5.0,4.0,2.0,4.0,1.0,2.0,2.0,5.0,3.0,2.0,4.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,6.0,3.0,2.0,3.0,1.0
2.0,4.0,1.0,2.0,2.0,5.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,1.0
1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0
5.0,5.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,6.0,3.0,4.0,6.0,2.0,6.0,2.0,5.0,4.0,5.0,3.0,2.0,2.0,4.0,1.0,5.0,5.0,2.0,2.0,2.0
1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0
3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0
6.0,7.0,5.0,5.0,5.0,5.0,3.0,7.0,6.0,5.0,2.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,2.0,5.0,6.0,3.0,3.0,3.0
5.0,3.0,3.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,6.0,3.0,3.0,2.0,1.0,5.0,1.0,3.0,3.0
4.0,2.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,6.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,2.0,5.0,4.0,3.0,3.0,4.0
3.0,5.0,4.0,5.0,6.0,4.0,2.0,3.0,4.0,3.0,4.0,6.0,4.0,5.0,5.0,4.0,6.0,3.0,3.0,5.0,6.0,6.0,6.0,6.0,5.0,7.0,4.0,4.0,6.0,4.0,6.0
2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,2.0
1.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,5.0,2.0,3.0,2.0,3.0,3.0,5.0,3.0,5.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,5.0,4.0,2.0,2.0,3.0,3.0
6.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,6.0,2.0,6.0,6.0,6.0,5.0,2.0,6.0,6.0,6.0,2.0,5.0,5.0,2.0,6.0,5.0,2.0,6.0,2.0,2.0,6.0,2.0
4.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,6.0,4.0,4.0,4.0
3.0,6.0,5.0,3.0,5.0,3.0,3.0,6.0,7.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,2.0,6.0,4.0,1.0,4.0,4.0,3.0,4.0,4.0
2.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0
4.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0
5.0,2.0,5.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,3.0,6.0,4.0,6.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0
1.0,6.0,1.0,2.0,1.0,1.0,1.0,5.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
3.0,6.0,6.0,4.0,4.0,3.0,2.0,4.0,6.0,5.0,5.0,5.0,3.0,5.0,6.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,2.0,4.0,5.0,3.0,4.0,4.0,6.0,4.0,4.0
2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0
7.0,7.0,6.0,5.0,6.0,5.0,3.0,7.0,7.0,6.0,5.0,7.0,6.0,6.0,5.0,5.0,7.0,6.0,6.0,5.0,4.0,6.0,5.0,6.0,6.0,5.0,2.0,7.0,6.0,6.0,6.0
5.0,5.0,5.0,5.0,5.0,6.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0
3.0,5.0,4.0,4.0,3.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,5.0,3.0,3.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,2.0,4.0
3.0,2.0,2.0,3.0,3.0,3.0,2.0,5.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,3.0,4.0,3.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,3.0,5.0,3.0,6.0,3.0,5.0,3.0,7.0,2.0,6.0,7.0,6.0,6.0,3.0,6.0,6.0,7.0,6.0,4.0,6.0,5.0,7.0,2.0,1.0,5.0,5.0,3.0,3.0,7.0
4.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0
5.0,5.0,5.0,3.0,5.0,3.0,1.0,4.0,7.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,6.0,6.0,5.0,6.0,2.0,5.0,6.0,3.0,2.0,5.0,5.0,6.0,4.0
4.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,6.0,1.0,1.0,5.0,5.0,6.0,6.0,2.0,7.0,5.0,1.0,3.0,1.0,4.0,3.0,3.0,2.0,3.0,4.0,1.0,1.0,3.0,2.0
3.0,3.0,3.0,4.0,3.0,3.0,2.0,5.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0
5.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,2.0,5.0,3.0,3.0,5.0,5.0,4.0,2.0,3.0,5.0
2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0
5.0,5.0,5.0,3.0,5.0,4.0,2.0,5.0,6.0,5.0,4.0,6.0,5.0,5.0,6.0,3.0,6.0,5.0,5.0,3.0,6.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0
5.0,2.0,3.0,4.0,3.0,5.0,2.0,6.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,6.0,5.0,6.0,5.0,2.0,5.0,2.0,4.0,2.0,4.0,5.0
4.0,6.0,3.0,3.0,2.0,2.0,2.0,4.0,6.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,6.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,1.0,4.0,5.0,1.0,4.0,3.0
5.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,3.0,1.0,6.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0
2.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,5.0,3.0,3.0,3.0,5.0,6.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,2.0,5.0,2.0,4.0,2.0
5.0,4.0,3.0,2.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0
3.0,2.0,5.0,3.0,7.0,7.0,4.0,5.0,4.0,5.0,5.0,6.0,5.0,6.0,7.0,3.0,4.0,5.0,6.0,7.0,5.0,6.0,5.0,6.0,7.0,5.0,3.0,5.0,3.0,5.0,5.0
5.0,6.0,4.0,3.0,4.0,2.0,1.0,6.0,6.0,3.0,2.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,4.0,4.0,3.0,5.0,2.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,3.0
2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0
1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,5.0,2.0,3.0,5.0,1.0,5.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,5.0,2.0,1.0,5.0,2.0
4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0
4.0,5.0,4.0,3.0,4.0,4.0,1.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,3.0,5.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.0,6.0,6.0,6.0,5.0,6.0,2.0,4.0,4.0,4.0,5.0,6.0,6.0,5.0,4.0,5.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,5.0,5.0,2.0,2.0,5.0,4.0,5.0,5.0
2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0
6.0,6.0,5.0,6.0,5.0,7.0,1.0,2.0,6.0,6.0,4.0,6.0,7.0,5.0,6.0,6.0,7.0,5.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,4.0,1.0,6.0,6.0,6.0,7.0
6.0,4.0,4.0,5.0,4.0,6.0,3.0,3.0,5.0,5.0,3.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,6.0,5.0,5.0,3.0,2.0,4.0,6.0,2.0,5.0,5.0
2.0,1.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,1.0,2.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,2.0,4.0,4.0
3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0
3.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
2.0,4.0,4.0,6.0,2.0,6.0,1.0,1.0,4.0,2.0,3.0,4.0,2.0,4.0,5.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,7.0,3.0,3.0,6.0,2.0,4.0,2.0,4.0,5.0
2.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0
3.0,2.0,2.0,3.0,5.0,2.0,1.0,4.0,5.0,4.0,2.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,1.0,4.0,4.0,3.0,5.0,3.0,6.0,4.0,5.0,4.0,4.0,5.0
5.0,4.0,4.0,2.0,4.0,2.0,4.0,5.0,6.0,4.0,4.0,2.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,6.0,4.0,4.0,5.0,4.0,4.0
5.0,5.0,6.0,5.0,5.0,6.0,2.0,4.0,6.0,2.0,3.0,6.0,4.0,3.0,3.0,5.0,7.0,5.0,3.0,5.0,4.0,6.0,6.0,3.0,4.0,2.0,4.0,5.0,3.0,5.0,6.0
2.0,5.0,3.0,5.0,4.0,4.0,2.0,6.0,5.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,7.0,4.0,4.0,4.0
6.0,6.0,6.0,5.0,4.0,6.0,1.0,4.0,6.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,4.0,3.0,7.0,2.0,4.0,6.0
1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0
5.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,6.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,6.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,2.0,6.0,5.0,3.0,5.0,3.0
4.0,3.0,6.0,5.0,3.0,3.0,3.0,2.0,6.0,3.0,3.0,5.0,4.0,2.0,5.0,2.0,6.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0
1.0,1.0,1.0,6.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,3.0,5.0,1.0,2.0,5.0,3.0,1.0,4.0,3.0,2.0,2.0,1.0,5.0,4.0,1.0,3.0,3.0,1.0,4.0,3.0
3.0,2.0,2.0,4.0,2.0,5.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,5.0,4.0,2.0,5.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0,4.0,4.0,3.0,4.0
1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0
