vis12[appealing],vis12[artistic],vis12[attractive],vis12[balanced],vis12[beautiful],vis12[clean],vis12[cluttered],vis12[colorHarmonious],vis12[creative],vis12[delightful],vis12[elegant],vis12[engaging],vis12[enjoyable],vis12[exciting],vis12[fascinating],vis12[harmonious],vis12[interesting],vis12[inviting],vis12[likable],vis12[lovely],vis12[motivating],vis12[nice],vis12[organized],vis12[pleasing],vis12[pretty],vis12[professional],vis12[provoking],vis12[satisfying],vis12[sophisticated],vis12[tasteful],vis12[wellDesigned]
3.0,6.0,5.0,4.0,3.0,2.0,4.0,2.0,4.0,2.0,5.0,5.0,6.0,5.0,6.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0
4.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,2.0
5.0,7.0,6.0,5.0,6.0,6.0,4.0,1.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,7.0,6.0,6.0,3.0,7.0,6.0,6.0,5.0,5.0,7.0,5.0,5.0,6.0,7.0,6.0
5.0,5.0,5.0,4.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,4.0,5.0,6.0,6.0,3.0,5.0,5.0,4.0,3.0
6.0,6.0,6.0,7.0,6.0,6.0,4.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,7.0,6.0,6.0,5.0
6.0,6.0,7.0,3.0,7.0,7.0,2.0,7.0,5.0,4.0,6.0,6.0,7.0,4.0,5.0,6.0,6.0,7.0,6.0,7.0,4.0,5.0,4.0,6.0,7.0,4.0,4.0,6.0,4.0,5.0,6.0
2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0
3.0,5.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,6.0,2.0,3.0,6.0,3.0,3.0,2.0,2.0,5.0,3.0,5.0,5.0,2.0,3.0,5.0,2.0,5.0,3.0
5.0,6.0,5.0,4.0,6.0,3.0,3.0,5.0,7.0,5.0,2.0,5.0,6.0,5.0,6.0,3.0,6.0,5.0,6.0,4.0,4.0,6.0,3.0,6.0,6.0,3.0,6.0,5.0,2.0,5.0,4.0
5.0,2.0,5.0,5.0,3.0,2.0,2.0,4.0,6.0,3.0,4.0,4.0,3.0,3.0,4.0,6.0,4.0,3.0,5.0,1.0,1.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,4.0
5.0,6.0,5.0,5.0,5.0,5.0,2.0,6.0,6.0,5.0,5.0,3.0,5.0,3.0,6.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,6.0,5.0,5.0,5.0,3.0,5.0,6.0,5.0,5.0
3.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0
5.0,4.0,5.0,4.0,6.0,6.0,3.0,4.0,6.0,5.0,6.0,5.0,3.0,4.0,5.0,4.0,6.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,6.0,5.0,3.0,5.0,6.0,5.0,4.0
7.0,2.0,7.0,4.0,7.0,6.0,1.0,2.0,2.0,5.0,7.0,6.0,7.0,2.0,7.0,4.0,7.0,7.0,7.0,6.0,4.0,7.0,7.0,4.0,7.0,7.0,1.0,7.0,7.0,4.0,7.0
1.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,1.0,4.0,1.0
5.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,2.0,2.0,3.0,5.0,4.0,2.0,3.0,2.0,2.0,6.0,2.0,3.0
6.0,5.0,4.0,6.0,5.0,6.0,2.0,7.0,5.0,4.0,4.0,6.0,5.0,4.0,4.0,6.0,6.0,5.0,6.0,4.0,4.0,6.0,6.0,6.0,5.0,6.0,2.0,6.0,4.0,6.0,5.0
6.0,6.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0,2.0,3.0,5.0,4.0,4.0,4.0,2.0,6.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,5.0,5.0,3.0,3.0
4.0,2.0,5.0,2.0,5.0,2.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,5.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,5.0,4.0,2.0,3.0,4.0,4.0,4.0
3.0,6.0,2.0,1.0,3.0,2.0,2.0,2.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,2.0,6.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0
4.0,7.0,3.0,1.0,5.0,2.0,3.0,4.0,7.0,4.0,3.0,5.0,6.0,3.0,5.0,4.0,6.0,3.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0
2.0,3.0,2.0,4.0,2.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,6.0,2.0,2.0,3.0,5.0,3.0
2.0,5.0,2.0,4.0,5.0,3.0,3.0,2.0,6.0,5.0,2.0,4.0,5.0,4.0,4.0,1.0,5.0,2.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,1.0,3.0,5.0,3.0,1.0,2.0
6.0,6.0,6.0,3.0,6.0,4.0,4.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,5.0
2.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,3.0,2.0,1.0,2.0,1.0,4.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0
5.0,6.0,5.0,6.0,5.0,6.0,3.0,6.0,5.0,5.0,3.0,5.0,6.0,5.0,6.0,6.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,5.0,6.0,5.0,5.0
6.0,6.0,5.0,4.0,6.0,5.0,3.0,7.0,7.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0,6.0,3.0,6.0,6.0,4.0,6.0,4.0,5.0,5.0,6.0
2.0,4.0,2.0,1.0,5.0,2.0,2.0,6.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0
6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,2.0,6.0,7.0,6.0,6.0
6.0,7.0,6.0,6.0,6.0,7.0,3.0,7.0,6.0,5.0,7.0,5.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,2.0,5.0,6.0,6.0,5.0,5.0,6.0,7.0,6.0,6.0,6.0
3.0,6.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,2.0,6.0,3.0,3.0,5.0,3.0,5.0,6.0,2.0,3.0,7.0,2.0,3.0,2.0,6.0,2.0,5.0,3.0,3.0,2.0,3.0
1.0,6.0,2.0,1.0,3.0,1.0,2.0,7.0,5.0,1.0,2.0,2.0,1.0,5.0,5.0,1.0,5.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,4.0,2.0,4.0,3.0
6.0,6.0,6.0,6.0,6.0,5.0,2.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,6.0,5.0,5.0
3.0,2.0,2.0,5.0,2.0,3.0,3.0,3.0,6.0,3.0,4.0,5.0,3.0,5.0,5.0,3.0,6.0,5.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,6.0,3.0,3.0,4.0,4.0,4.0
3.0,6.0,2.0,4.0,3.0,3.0,3.0,2.0,5.0,4.0,3.0,6.0,2.0,4.0,5.0,2.0,6.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,6.0,2.0,3.0,4.0,4.0
5.0,6.0,6.0,5.0,7.0,5.0,3.0,7.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,3.0,6.0,6.0,4.0,5.0,6.0,4.0,5.0,5.0
4.0,6.0,5.0,4.0,5.0,3.0,3.0,6.0,6.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,5.0,2.0,5.0,5.0,2.0,6.0
5.0,6.0,5.0,6.0,6.0,6.0,4.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,6.0,3.0,5.0,6.0,5.0,2.0,7.0,5.0,5.0,5.0
5.0,6.0,4.0,5.0,4.0,2.0,4.0,5.0,6.0,3.0,3.0,5.0,6.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,7.0,1.0,5.0,4.0,4.0,6.0,3.0,3.0,2.0,5.0
7.0,7.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,5.0,7.0,7.0,5.0,6.0
2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0
5.0,5.0,6.0,4.0,6.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,7.0,4.0,4.0,6.0,4.0,4.0,4.0,6.0,4.0,6.0
6.0,7.0,7.0,6.0,7.0,6.0,3.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0
4.0,5.0,5.0,5.0,4.0,4.0,3.0,6.0,4.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,6.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0
7.0,5.0,7.0,5.0,7.0,7.0,1.0,7.0,5.0,6.0,6.0,5.0,6.0,4.0,5.0,6.0,6.0,7.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0
3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0
3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,6.0,3.0,3.0
7.0,7.0,7.0,7.0,7.0,5.0,1.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0
5.0,7.0,6.0,4.0,6.0,4.0,3.0,6.0,7.0,6.0,6.0,4.0,5.0,5.0,7.0,5.0,7.0,6.0,7.0,6.0,4.0,7.0,4.0,6.0,6.0,5.0,2.0,5.0,6.0,4.0,7.0
7.0,7.0,7.0,5.0,7.0,7.0,3.0,6.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,5.0,7.0,6.0,6.0,7.0,5.0,7.0,7.0,6.0,6.0,5.0,5.0,6.0,7.0,7.0,5.0
2.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,6.0,3.0,2.0,5.0,3.0,2.0,3.0,2.0,3.0
1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
3.0,5.0,4.0,3.0,4.0,5.0,2.0,2.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,2.0,6.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,5.0,4.0,5.0
2.0,5.0,4.0,6.0,2.0,2.0,3.0,5.0,6.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,6.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,5.0,1.0,5.0,2.0,2.0,2.0,2.0
6.0,7.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,2.0,5.0,6.0,6.0,6.0
4.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,5.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,4.0,1.0,4.0,5.0,2.0,3.0,4.0,2.0,3.0,2.0
6.0,6.0,6.0,5.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0
4.0,1.0,4.0,5.0,5.0,5.0,2.0,5.0,1.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,3.0,7.0,4.0,5.0,5.0,5.0,6.0
3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0
6.0,7.0,6.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,5.0,2.0,6.0,6.0,5.0,6.0,4.0,6.0,6.0,6.0,2.0,6.0,2.0,6.0,7.0,5.0,6.0,6.0,6.0,4.0,3.0
5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0
6.0,6.0,6.0,4.0,5.0,4.0,4.0,4.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0
5.0,6.0,6.0,6.0,6.0,5.0,3.0,6.0,6.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,6.0,4.0,4.0,6.0,5.0,6.0,5.0,6.0,1.0,5.0,5.0,5.0,6.0
5.0,7.0,5.0,4.0,6.0,7.0,1.0,6.0,4.0,5.0,5.0,2.0,5.0,1.0,6.0,6.0,6.0,4.0,5.0,5.0,2.0,6.0,5.0,6.0,5.0,4.0,1.0,4.0,2.0,5.0,4.0
2.0,5.0,1.0,2.0,5.0,1.0,3.0,4.0,4.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0
3.0,4.0,3.0,1.0,3.0,5.0,2.0,4.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,5.0,3.0,1.0,5.0,2.0,2.0,3.0,5.0,4.0
7.0,7.0,7.0,7.0,7.0,7.0,1.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,1.0,7.0,6.0,6.0,6.0
4.0,6.0,6.0,5.0,6.0,4.0,4.0,6.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,6.0,5.0,6.0,4.0,4.0,6.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,4.0,5.0
5.0,5.0,5.0,6.0,5.0,5.0,2.0,6.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,6.0,5.0,4.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0,6.0,3.0,4.0,5.0,4.0,5.0
3.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0
2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,1.0,2.0,3.0,3.0
3.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0
6.0,7.0,6.0,5.0,6.0,4.0,4.0,6.0,6.0,6.0,4.0,7.0,6.0,7.0,6.0,4.0,7.0,4.0,6.0,6.0,5.0,6.0,4.0,7.0,6.0,4.0,6.0,5.0,3.0,5.0,6.0
6.0,6.0,6.0,4.0,7.0,7.0,2.0,7.0,6.0,3.0,4.0,6.0,6.0,7.0,6.0,6.0,7.0,4.0,6.0,4.0,5.0,6.0,6.0,6.0,6.0,7.0,5.0,7.0,4.0,5.0,6.0
4.0,5.0,4.0,4.0,4.0,3.0,3.0,6.0,5.0,2.0,2.0,4.0,4.0,2.0,3.0,5.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0
2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,2.0,3.0,2.0,2.0
1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0
7.0,7.0,6.0,6.0,7.0,4.0,2.0,7.0,6.0,7.0,6.0,5.0,6.0,4.0,7.0,7.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,4.0,6.0,6.0,6.0,6.0
7.0,7.0,7.0,5.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0
6.0,5.0,6.0,6.0,6.0,7.0,2.0,7.0,3.0,5.0,6.0,3.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0
6.0,2.0,6.0,6.0,2.0,6.0,2.0,3.0,2.0,2.0,2.0,6.0,5.0,6.0,5.0,3.0,7.0,4.0,6.0,2.0,2.0,6.0,5.0,4.0,6.0,6.0,2.0,5.0,2.0,2.0,7.0
6.0,7.0,7.0,4.0,6.0,4.0,4.0,6.0,6.0,4.0,7.0,6.0,6.0,6.0,6.0,4.0,7.0,7.0,6.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0
2.0,6.0,5.0,2.0,5.0,5.0,3.0,3.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,3.0,5.0,5.0,5.0,6.0,2.0,3.0,2.0,4.0,6.0,5.0,2.0,6.0,5.0,5.0,5.0
6.0,6.0,7.0,7.0,6.0,7.0,1.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,2.0,7.0,6.0,6.0,7.0
5.0,7.0,7.0,6.0,6.0,6.0,2.0,7.0,6.0,6.0,5.0,6.0,7.0,7.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,6.0,5.0,6.0,7.0,7.0,7.0,6.0
5.0,6.0,6.0,2.0,6.0,2.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,5.0,2.0,4.0,5.0,2.0,5.0,2.0,5.0,6.0,2.0,2.0,2.0,2.0,5.0,2.0
6.0,6.0,5.0,3.0,6.0,4.0,2.0,6.0,6.0,4.0,5.0,6.0,6.0,5.0,6.0,4.0,5.0,3.0,6.0,6.0,3.0,6.0,4.0,6.0,6.0,4.0,6.0,5.0,6.0,5.0,5.0
1.0,2.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
4.0,6.0,5.0,4.0,6.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,6.0,3.0,4.0,6.0,3.0,4.0,6.0,4.0,5.0,5.0
6.0,6.0,5.0,5.0,6.0,6.0,2.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,3.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,5.0,6.0
6.0,4.0,2.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,6.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
5.0,5.0,5.0,5.0,5.0,4.0,3.0,7.0,2.0,5.0,6.0,5.0,5.0,4.0,6.0,5.0,5.0,6.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0
5.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0
6.0,6.0,6.0,6.0,6.0,6.0,2.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,7.0
6.0,6.0,5.0,7.0,7.0,7.0,1.0,6.0,5.0,4.0,4.0,7.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,5.0,6.0,6.0,4.0,4.0,4.0,4.0,6.0
