vis10[appealing],vis10[artistic],vis10[attractive],vis10[balanced],vis10[beautiful],vis10[clean],vis10[cluttered],vis10[colorHarmonious],vis10[creative],vis10[delightful],vis10[elegant],vis10[engaging],vis10[enjoyable],vis10[exciting],vis10[fascinating],vis10[harmonious],vis10[interesting],vis10[inviting],vis10[likable],vis10[lovely],vis10[motivating],vis10[nice],vis10[organized],vis10[pleasing],vis10[pretty],vis10[professional],vis10[provoking],vis10[satisfying],vis10[sophisticated],vis10[tasteful],vis10[wellDesigned]
2.0,6.0,2.0,2.0,5.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,7.0,5.0,1.0,5.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,7.0,4.0,2.0,2.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0
4.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0
4.0,6.0,6.0,4.0,7.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,5.0,3.0,4.0,6.0,6.0,5.0,3.0,4.0,6.0,5.0,3.0,6.0,1.0,3.0,4.0,3.0,6.0
6.0,7.0,6.0,6.0,6.0,6.0,2.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0
2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,3.0,1.0,2.0
5.0,6.0,5.0,3.0,5.0,2.0,4.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,6.0,3.0,5.0,6.0,5.0,4.0,5.0,5.0,4.0,4.0
5.0,6.0,6.0,6.0,6.0,6.0,3.0,4.0,6.0,4.0,6.0,3.0,3.0,5.0,6.0,4.0,6.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,6.0,6.0
6.0,7.0,6.0,6.0,4.0,4.0,2.0,1.0,6.0,1.0,1.0,6.0,6.0,7.0,1.0,4.0,7.0,7.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,6.0,6.0,6.0,6.0
5.0,5.0,6.0,3.0,5.0,6.0,3.0,5.0,5.0,4.0,6.0,4.0,5.0,3.0,4.0,4.0,6.0,4.0,4.0,4.0,3.0,2.0,3.0,6.0,3.0,4.0,4.0,4.0,6.0,3.0,4.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,5.0,1.0,5.0,2.0,4.0
3.0,5.0,6.0,2.0,2.0,2.0,3.0,1.0,5.0,2.0,1.0,4.0,2.0,2.0,3.0,2.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,4.0
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0
3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,7.0,1.0,3.0
3.0,6.0,3.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,5.0,2.0,5.0,1.0,3.0
3.0,5.0,3.0,2.0,4.0,5.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
6.0,6.0,5.0,4.0,6.0,2.0,1.0,4.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,4.0,5.0,2.0,3.0,6.0,6.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0
5.0,5.0,3.0,3.0,5.0,1.0,1.0,4.0,6.0,2.0,2.0,6.0,5.0,5.0,7.0,2.0,7.0,2.0,3.0,4.0,2.0,4.0,1.0,5.0,5.0,2.0,6.0,5.0,2.0,3.0,2.0
2.0,5.0,2.0,1.0,2.0,1.0,1.0,6.0,6.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0
1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,4.0,1.0,2.0,3.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
4.0,6.0,2.0,4.0,4.0,2.0,3.0,6.0,6.0,2.0,2.0,3.0,2.0,2.0,5.0,5.0,6.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,5.0,4.0,2.0,2.0,5.0
1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,1.0,7.0,3.0,4.0
2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0
4.0,6.0,3.0,2.0,2.0,1.0,1.0,1.0,6.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,2.0,6.0,2.0,3.0
2.0,5.0,2.0,4.0,2.0,3.0,3.0,6.0,5.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0,3.0,5.0,6.0,3.0,4.0,2.0,2.0,5.0
5.0,7.0,5.0,5.0,1.0,2.0,1.0,1.0,6.0,5.0,4.0,2.0,4.0,3.0,6.0,2.0,5.0,5.0,4.0,1.0,2.0,5.0,1.0,2.0,1.0,6.0,5.0,5.0,3.0,1.0,6.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,5.0,4.0,4.0
2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0,5.0,4.0,3.0,2.0,2.0,5.0,5.0,1.0,4.0,5.0,2.0,2.0,3.0,2.0,4.0
2.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,3.0,5.0,5.0,2.0,5.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,7.0,2.0,6.0,3.0,1.0
5.0,7.0,3.0,2.0,3.0,2.0,4.0,2.0,6.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,2.0
1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0
7.0,7.0,6.0,6.0,7.0,4.0,4.0,7.0,7.0,5.0,7.0,7.0,4.0,5.0,7.0,7.0,7.0,5.0,6.0,7.0,6.0,5.0,6.0,6.0,6.0,7.0,1.0,6.0,7.0,6.0,7.0
3.0,7.0,5.0,1.0,3.0,1.0,4.0,1.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,6.0,6.0,3.0,3.0,2.0,5.0
4.0,5.0,5.0,3.0,5.0,1.0,1.0,4.0,5.0,4.0,5.0,5.0,3.0,6.0,5.0,2.0,6.0,3.0,3.0,3.0,2.0,5.0,2.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,2.0
4.0,1.0,3.0,4.0,5.0,5.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,6.0,3.0,3.0,6.0,4.0,3.0,6.0,4.0,5.0
4.0,5.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0
2.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,5.0,2.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0
4.0,5.0,5.0,3.0,6.0,4.0,2.0,4.0,3.0,4.0,4.0,6.0,5.0,4.0,6.0,2.0,5.0,4.0,6.0,4.0,4.0,5.0,2.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0
3.0,5.0,4.0,4.0,4.0,3.0,1.0,6.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,3.0,5.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,5.0,6.0,4.0,4.0,2.0,2.0
2.0,4.0,1.0,3.0,2.0,5.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,2.0,4.0,1.0,4.0,2.0,1.0,1.0,4.0,6.0,4.0,4.0,2.0,4.0,3.0
6.0,3.0,6.0,6.0,6.0,6.0,2.0,7.0,4.0,6.0,7.0,6.0,6.0,6.0,5.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,2.0,7.0,6.0,7.0,7.0
1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.0,6.0,5.0,6.0,6.0,4.0,4.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,5.0,5.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,3.0,5.0,5.0
3.0,1.0,3.0,3.0,1.0,1.0,2.0,7.0,3.0,2.0,3.0,2.0,3.0,2.0,5.0,2.0,6.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,5.0,1.0,2.0,3.0,2.0,2.0
3.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,7.0,7.0,1.0,6.0,1.0,1.0,1.0,7.0,6.0,7.0,1.0,7.0,7.0,7.0,3.0,7.0,1.0,6.0,4.0,1.0,1.0,1.0,6.0,7.0,1.0,7.0,7.0,1.0,1.0,1.0
4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0
3.0,4.0,3.0,2.0,4.0,1.0,1.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0
1.0,7.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,1.0,7.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0
6.0,6.0,6.0,4.0,6.0,6.0,2.0,6.0,6.0,4.0,6.0,2.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,4.0,5.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0
2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,5.0,4.0,1.0,1.0,1.0
3.0,6.0,5.0,4.0,3.0,3.0,2.0,2.0,5.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,3.0,2.0,5.0,5.0,2.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0,2.0,5.0,2.0,6.0,3.0,2.0
2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,5.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,6.0,1.0,1.0
5.0,6.0,3.0,2.0,3.0,3.0,1.0,4.0,5.0,3.0,4.0,3.0,3.0,5.0,6.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0
3.0,6.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,1.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,2.0,5.0,3.0,1.0
3.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,6.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0
4.0,6.0,4.0,3.0,2.0,4.0,1.0,1.0,5.0,3.0,4.0,6.0,5.0,5.0,5.0,6.0,7.0,5.0,5.0,2.0,7.0,6.0,5.0,4.0,3.0,7.0,6.0,6.0,5.0,4.0,6.0
1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,6.0,1.0,1.0
1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,5.0,4.0,2.0,4.0,4.0,3.0
5.0,3.0,5.0,5.0,2.0,3.0,1.0,1.0,2.0,5.0,3.0,5.0,4.0,3.0,6.0,2.0,5.0,3.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,5.0,6.0,5.0,3.0,4.0,6.0
6.0,5.0,6.0,5.0,2.0,3.0,2.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,3.0,5.0,6.0,2.0,5.0,1.0,2.0,2.0,5.0,6.0,5.0,3.0,3.0,6.0,6.0,6.0,3.0
4.0,5.0,4.0,5.0,4.0,6.0,3.0,6.0,4.0,4.0,5.0,3.0,2.0,2.0,4.0,6.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0
3.0,5.0,5.0,7.0,6.0,2.0,3.0,7.0,5.0,4.0,6.0,5.0,4.0,7.0,6.0,4.0,7.0,3.0,4.0,3.0,6.0,5.0,5.0,3.0,6.0,5.0,7.0,6.0,6.0,4.0,5.0
5.0,5.0,5.0,5.0,5.0,5.0,2.0,6.0,5.0,5.0,6.0,5.0,4.0,4.0,5.0,5.0,6.0,3.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0
6.0,7.0,5.0,6.0,5.0,2.0,2.0,7.0,7.0,5.0,3.0,6.0,5.0,5.0,5.0,7.0,6.0,6.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,6.0,6.0,5.0,3.0,5.0
4.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,1.0,4.0,1.0,1.0,5.0,4.0,5.0,5.0,1.0,4.0,1.0,1.0,5.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,5.0
3.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0
6.0,7.0,6.0,3.0,7.0,1.0,2.0,6.0,6.0,5.0,6.0,3.0,5.0,6.0,6.0,6.0,6.0,3.0,5.0,4.0,5.0,5.0,2.0,6.0,7.0,6.0,2.0,6.0,7.0,6.0,3.0
5.0,5.0,5.0,6.0,6.0,6.0,3.0,6.0,6.0,4.0,6.0,7.0,4.0,4.0,6.0,6.0,6.0,4.0,4.0,5.0,4.0,5.0,7.0,5.0,5.0,7.0,5.0,6.0,6.0,6.0,6.0
4.0,5.0,6.0,3.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,5.0,5.0,4.0,6.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,6.0
1.0,6.0,4.0,1.0,4.0,1.0,1.0,1.0,6.0,4.0,2.0,1.0,4.0,5.0,5.0,2.0,6.0,1.0,4.0,4.0,2.0,4.0,1.0,5.0,5.0,1.0,4.0,5.0,2.0,4.0,1.0
3.0,4.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,6.0,3.0,6.0,2.0,4.0
6.0,6.0,5.0,3.0,6.0,2.0,2.0,4.0,6.0,4.0,5.0,4.0,5.0,5.0,6.0,4.0,7.0,6.0,6.0,4.0,4.0,4.0,2.0,5.0,6.0,2.0,6.0,5.0,4.0,3.0,5.0
4.0,5.0,3.0,5.0,5.0,7.0,4.0,6.0,6.0,4.0,5.0,5.0,4.0,5.0,6.0,4.0,5.0,7.0,4.0,4.0,6.0,6.0,7.0,5.0,5.0,3.0,6.0,4.0,5.0,6.0,4.0
5.0,7.0,4.0,2.0,5.0,2.0,3.0,2.0,6.0,3.0,2.0,6.0,5.0,6.0,6.0,2.0,6.0,5.0,5.0,2.0,5.0,4.0,3.0,4.0,4.0,4.0,6.0,3.0,4.0,5.0,4.0
2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,5.0,2.0,5.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,5.0,5.0,3.0,5.0,4.0,3.0
3.0,6.0,5.0,2.0,2.0,2.0,2.0,1.0,5.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,5.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0
2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0
3.0,5.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,5.0,5.0,1.0,5.0,1.0,2.0,1.0,4.0,3.0,5.0,2.0,1.0,2.0,5.0,5.0,2.0,1.0,1.0
5.0,5.0,4.0,2.0,3.0,2.0,2.0,3.0,5.0,3.0,2.0,4.0,5.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,5.0,1.0,2.0,4.0,2.0,6.0,2.0,2.0,3.0,2.0
3.0,4.0,3.0,5.0,3.0,1.0,1.0,4.0,4.0,4.0,2.0,5.0,4.0,3.0,6.0,4.0,5.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0
6.0,4.0,4.0,6.0,7.0,6.0,4.0,4.0,6.0,4.0,3.0,4.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,6.0,6.0,4.0,3.0,5.0
6.0,5.0,6.0,6.0,7.0,1.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0
6.0,6.0,5.0,7.0,4.0,7.0,2.0,7.0,6.0,3.0,7.0,6.0,7.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,5.0,5.0,7.0,6.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0
